"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IIIN","Insteel Industries, Inc.","34.16","$651.96M","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/iiin",
"PODD","Insulet Corporation","95.5","$5.63B","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/podd",
"INSY","Insys Therapeutics, Inc.","9.08","$674.14M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/insy",
"NTEC","Intec Pharma Ltd.","4.82","$160.15M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ntec",
"IART","Integra LifeSciences Holdings Corporation","61.42","$5.23B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/iart",
"IDTI","Integrated Device Technology, Inc.","47.17","$6.08B","1984","Technology","Semiconductors","https://www.nasdaq.com/symbol/idti",
"IMTE","Integrated Media Technology Limited","7.48","$19.77M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/imte",
"INTC","Intel Corporation","47.03","$216.86B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/intc",
"NTLA","Intellia Therapeutics, Inc.","24.34","$1.05B","2016","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/ntla",
"IPCI","Intellipharmaceutics International Inc.","1.55","$6.75M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ipci",
"IPAR","Inter Parfums, Inc.","60.33","$1.89B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/ipar",
"ICPT","Intercept Pharmaceuticals, Inc.","111.58","$3.3B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/icpt",
"IDCC","InterDigital, Inc.","76.28","$2.66B","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/idcc",
"TILE","Interface, Inc.","22.15","$1.32B","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/tile",
"LINK","Interlink Electronics, Inc.","3.85","$24.96M","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/link",
"IMI","Intermolecular, Inc.","1.24","$61.68M","2011","Technology","Semiconductors","https://www.nasdaq.com/symbol/imi",
"INAP","Internap Corporation","12.14","$257.59M","1999","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/inap",
"IBOC","International Bancshares Corporation","43.76","$2.89B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/iboc",
"IMXI","International Money Express, Inc.","12.44","$297.23M","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/imxi",
"IMXIW","International Money Express, Inc.","2.75","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/imxiw",
"ISCA","International Speedway Corporation","36.81","$1.62B","1996","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/isca",
"IGLD","Internet Gold Golden Lines Ltd.","2.4689","$69.14M","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/igld",
"IIJI","Internet Initiative Japan, Inc.","9.77","$880.68M","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/iiji",
"IDXG","Interpace Diagnostics Group, Inc.","1.4","$39.47M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/idxg",
"XENT","Intersect ENT, Inc.","28.08","$855.16M","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/xent",
"INTX","Intersections, Inc.","1.885","$45.91M","2004","Technology","EDP Services","https://www.nasdaq.com/symbol/intx",
"IVAC","Intevac, Inc.","5","$112.92M","1995","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/ivac",
"INTL","INTL FCStone Inc.","48","$907.52M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/intl",
"ITCI","Intra-Cellular Therapies Inc.","19.41","$1.06B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/itci",
"XON","Intrexon Corporation","16.49","$2.26B","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/xon",
"IIN","IntriCon Corporation","53.16","$447.32M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/iin",
"INTU","Intuit Inc.","222.31","$57.51B","1993","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/intu",
"ISRG","Intuitive Surgical, Inc.","548.71","$62.41B","2000","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/isrg",
"PLW","Invesco 1-30 Laddered Treasury ETF","30.46","$147.73M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/plw",
"ADRA","Invesco BLDRS Asia 50 ADR Index Fund","31.2457","$18.75M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adra",
"ADRD","Invesco BLDRS Developed Markets 100 ADR Index Fund","22.0048","$56.11M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adrd",
"ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund","39.38","$139.8M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adre",
"ADRU","Invesco BLDRS Europe Select ADR Index Fund","21.4","$13.91M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adru",
"PKW","Invesco BuyBack Achievers ETF","60.12","$1.27B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pkw",
"PFM","Invesco Dividend Achievers ETF","27.39","$302.66M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pfm",
"PYZ","Invesco DWA Basic Materials Momentum ETF","67.6069","$98.03M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pyz",
"PEZ","Invesco DWA Consumer Cyclicals Momentum ETF","55.7251","$72.44M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pez",
"PSL","Invesco DWA Consumer Staples Momentum ETF","71","$145.55M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psl",
"PIZ","Invesco DWA Developed Markets Momentum ETF","26.55","$241.61M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/piz",
"PIE","Invesco DWA Emerging Markets Momentum ETF","16.99","$221.72M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pie",
"PXI","Invesco DWA Energy Momentum ETF","44.55","$100.24M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pxi",
"PFI","Invesco DWA Financial Momentum ETF","33.8978","$37.29M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pfi",
"PTH","Invesco DWA Healthcare Momentum ETF","90.29","$329.56M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pth",
"PRN","Invesco DWA Industrials Momentum ETF","62.0123","$117.82M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/prn",
"DWLV","Invesco DWA Momentum & Low Volatility Rotation ETF","32.05","$43.27M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwlv",
"PDP","Invesco DWA Momentum ETF","57.51","$1.58B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pdp",
"DWAQ","Invesco DWA NASDAQ Momentum ETF","106.0742","$53.04M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwaq",
"DWAS","Invesco DWA SmallCap Momentum ETF","53.52","$417.46M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwas",
"DWIN","Invesco DWA Tactical Multi-Asset Income ETF","24.56","$58.94M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwin",
"DWTR","Invesco DWA Tactical Sector Rotation ETF","29.8601","$83.61M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwtr",
"PTF","Invesco DWA Technology Momentum ETF","62.5659","$150.16M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ptf",
"PUI","Invesco DWA Utilities Momentum ETF","29.0764","$42.16M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pui",
"IDLB","Invesco FTSE International Low Beta Equal Weight ETF","28.75","$133.69M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/idlb",
"PRFZ","Invesco FTSE RAFI US 1500 Small-Mid ETF","137.96","$2.03B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/prfz",
"PAGG","Invesco Global Agriculture ETF","27.75","$20.81M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pagg",
"PSAU","Invesco Global Gold and Precious Metals ETF","15.3656","$23.82M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psau",
"PIO","Invesco Global Water ETF","25.2811","$187.08M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pio",
"PGJ","Invesco Golden Dragon China ETF","35.63","$188.84M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pgj",
"PEY","Invesco High Yield Equity Dividend Achievers ETF","18","$812.7M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pey",
"IPKW","Invesco International BuyBack Achievers ETF","33.17","$273.65M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ipkw",
"PID","Invesco International Dividend Achievers ETF","15.6","$792.48M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pid",
"KBWB","Invesco KBW Bank ETF","54.96","$945.31M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwb",
"KBWD","Invesco KBW High Dividend Yield Financial ETF","22.54","$329.08M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwd",
"KBWY","Invesco KBW Premium Yield Equity REIT ETF","32.19","$400.77M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwy",
"KBWP","Invesco KBW Property & Casualty Insurance ETF","64.0824","$67.29M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwp",
"KBWR","Invesco KBW Regional Banking ETF","55.87","$184.37M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwr",
"LDRI","Invesco LadderRite 0-5 Year Corporate Bond ETF","24.5135","$12.26M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ldri",
"LALT","Invesco Multi-Strategy Alternative ETF","21.6364","$4.33M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lalt",
"PNQI","Invesco Nasdaq Internet ETF","127.6","$625.24M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pnqi",
"PDBC","Invesco Optimum Yield Diversified Commodity Strategy No K-1 ET","19.13","$2.35B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pdbc",
"QQQ","Invesco QQQ Trust, Series 1","180.15","$70.17B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qqq",
"USLB","Invesco Russell 1000 Low Beta Equal Weight ETF","32.5","$159.25M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/uslb",
"PSCD","Invesco S&P SmallCap Consumer Discretionary ETF","64.23","$89.92M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscd",
"PSCC","Invesco S&P SmallCap Consumer Staples ETF","80.557","$92.64M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscc",
"PSCE","Invesco S&P SmallCap Energy ETF","16.21","$55.92M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psce",
"PSCF","Invesco S&P SmallCap Financials ETF","56.19","$244.43M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscf",
"PSCH","Invesco S&P SmallCap Health Care ETF","133.01","$1.3B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psch",
"PSCI","Invesco S&P SmallCap Industrials ETF","70.1944","$147.41M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psci",
"PSCT","Invesco S&P SmallCap Information Technology ETF","79.58","$433.71M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psct",
"PSCM","Invesco S&P SmallCap Materials ETF","52.4536","$28.85M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscm",
"PSCU","Invesco S&P SmallCap Utilities ETF","57.7","$77.9M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscu",
"ISDX","Invesco Strategic Developed ex-US ETF","25.89","$2.59M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/isdx",
"ISDS","Invesco Strategic Developed ex-US Small Company ETF","25.14","$2.51M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/isds",
"ISEM","Invesco Strategic Emerging Markets ETF","26","$2.6M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/isem",
"IUS","Invesco Strategic US ETF","25.5001","$2.55M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ius",
"IUSS","Invesco Strategic US Small Company ETF","24.11","$2.41M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iuss",
"VRIG","Invesco Variable Rate Investment Grade ETF","25.11","$404.27M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vrig",
"PHO","Invesco Water Resources ETF","31.44","$858.31M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pho",
"ISTR","Investar Holding Corporation","26.5","$253.64M","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/istr",
"ISBC","Investors Bancorp, Inc.","12.09","$3.6B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/isbc",
"ITIC","Investors Title Company","167.01","$315.09M","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/itic",
"NVIV","InVivo Therapeutics Holdings Corp.","2.04","$15.84M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/nviv",
"IVTY","Invuity, Inc.","7.41","$178.39M","2015","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/ivty",
"IONS","Ionis Pharmaceuticals, Inc.","48.73","$6.69B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ions",
"IOVA","Iovance Biotherapeutics, Inc.","11.59","$1.11B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/iova",
"IPAS","iPass Inc.","1.81","$15.2M","2003","Technology","EDP Services","https://www.nasdaq.com/symbol/ipas",
"IPGP","IPG Photonics Corporation","132.76","$7.22B","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/ipgp",
"IPIC","iPic Entertainment Inc.","5.93","$67.82M","2018","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/ipic",
"CLRG","IQ Chaikin U.S. Large Cap ETF","26.2","$301.3M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/clrg",
"CSML","IQ Chaikin U.S. Small Cap ETF","27.3683","$488.52M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/csml",
"IQ","iQIYI, Inc.","25.49","$18.04B","2018","Consumer Services","Consumer Electronics/Video Chains","https://www.nasdaq.com/symbol/iq",
"IRMD","iRadimed Corporation","31.14","$332.58M","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/irmd",
"IRTC","iRhythm Technologies, Inc.","85.84","$2.06B","2016","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/irtc",
"IRIX","IRIDEX Corporation","5.95","$69.4M","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/irix",
"IRDM","Iridium Communications Inc","20.77","$2.3B","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/irdm",
"IRDMB","Iridium Communications Inc","756.43","$378.22M","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/irdmb",
"IRBT","iRobot Corporation","106.06","$2.91B","2005","Consumer Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/irbt",
"IRWD","Ironwood Pharmaceuticals, Inc.","17.74","$2.72B","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/irwd",
"IRCP","IRSA Propiedades Comerciales S.A.","23.407","$737.4M","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/ircp",
"SLQD","iShares 0-5 Year Investment Grade Corporate Bond ETF","49.46","$1.38B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/slqd",
"ISHG","iShares 1-3 Year International Treasury Bond ETF","81","$76.95M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ishg",
"SHY","iShares 1-3 Year Treasury Bond ETF","82.89","$13.76B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/shy",
"TLT","iShares 20+ Year Treasury Bond ETF","113.04","$9.59B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/tlt",
"IEI","iShares 3-7 Year Treasury Bond ETF","118.26","$7.36B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iei",
"IEF","iShares 7-10 Year Treasury Bond ETF","99.72","$9.11B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ief",
"AIA","iShares Asia 50 ETF","59.15","$961.19M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/aia",
"USIG","iShares Broad USD Investment Grade Corporate Bond ETF","52.92","$1.52B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/usig",
"COMT","iShares Commodities Select Strategy ETF","39.5071","$782.24M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/comt",
"ISTB","iShares Core 1-5 Year USD Bond ETF","48.73","$2.17B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/istb",
"IXUS","iShares Core MSCI Total International Stock ETF","58.68","$10.63B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ixus",
"IUSG","iShares Core S&P U.S. Growth ETF","60.82","$5.26B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iusg",
"IUSV","iShares Core S&P U.S. Value ETF","56.44","$4.63B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iusv",
"IUSB","iShares Core Total USD Bond Market ETF","48.565","$2.31B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iusb",
"HEWG","iShares Currency Hedged MSCI Germany ETF","26.96","$328.91M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hewg",
"SUSB","iShares ESG 1-5 Year USD Corporate Bond ETF","24.45","$39.12M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/susb",
"SUSC","iShares ESG USD Corporate Bond ETF","23.91","$17.93M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/susc",
"XT","iShares Exponential Technologies ETF","37.8","$2.41B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/xt",
"FALN","iShares Fallen Angels USD Bond ETF","26.2699","$68.3M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/faln",
"IFEU","iShares FTSE EPRA/NAREIT Europe Index Fund","37.2351","$39.1M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ifeu",
"IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund","27.61","$447.28M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ifgl",
"IGF","iShares Global Infrastructure ETF","41.91","$2.64B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/igf",
"GNMA","iShares GNMA Bond ETF","47.51","$102.15M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gnma",
"HYXE","iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF","50.309","$10.06M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hyxe",
"IGIB","iShares Intermediate-Term Corporate Bond ETF","52.42","$5.75B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/igib",
"IGOV","iShares International Treasury Bond ETF","47.53","$857.92M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/igov",
"EMB","iShares J.P. Morgan USD Emerging Markets Bond ETF","105.84","$14.12B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/emb",
"MBB","iShares MBS ETF","102.09","$11.89B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mbb",
"JKI","iShares Morningstar Mid-Cap ETF","160.4793","$457.37M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jki",
"ACWX","iShares MSCI ACWI ex US Index Fund","46.39","$2.94B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/acwx",
"ACWI","iShares MSCI ACWI Index Fund","72.95","$8.78B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/acwi",
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","66.51","$3.75B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/aaxj",
"EWZS","iShares MSCI Brazil Small-Cap ETF","12.78","$52.4M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ewzs",
"MCHI","iShares MSCI China ETF","56.63","$3.21B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mchi",
"ESGD","iShares MSCI EAFE ESG Optimized ETF","64.69","$355.8M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/esgd",
"SCZ","iShares MSCI EAFE Small-Cap ETF","60.7","$10.04B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/scz",
"ESGE","iShares MSCI EM ESG Optimized ETF","31.89","$328.47M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/esge",
"EEMA","iShares MSCI Emerging Markets Asia ETF","63.94","$396.43M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eema",
"EMXC","iShares MSCI Emerging Markets ex China ETF","47.44","$9.49M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/emxc",
"EUFN","iShares MSCI Europe Financials Sector Index Fund","19.9","$1.22B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eufn",
"IEUS","iShares MSCI Europe Small-Cap ETF","53.89","$220.95M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ieus",
"RING","iShares MSCI Global Gold Miners ETF","14.39","$232.4M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ring",
"MPCT","iShares MSCI Global Impact ETF","56.19","$36.52M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mpct",
"ENZL","iShares MSCI New Zealand ETF","46.51","$167.44M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/enzl",
"QAT","iShares MSCI Qatar ETF","17.52","$49.06M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qat",
"TUR","iShares MSCI Turkey ETF","22.11","$416.77M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/tur",
"UAE","iShares MSCI UAE ETF","15.07","$33.15M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/uae",
"ESGU","iShares MSCI USA ESG Optimized ETF","63.23","$104.33M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/esgu",
"IBB","iShares Nasdaq Biotechnology Index Fund","116.53","$9.21B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibb",
"SOXX","iShares PHLX SOX Semiconductor Sector Index Fund","178.25","$1.52B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/soxx",
"AMCA","iShares Russell 1000 Pure U.S. Revenue ETF","28.3099","$11.32M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/amca",
"EMIF","iShares S&P Emerging Markets Infrastructure Index Fund","27.929","$32.12M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/emif",
"ICLN","iShares S&P Global Clean Energy Index Fund","8.43","$162.7M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/icln",
"WOOD","iShares S&P Global Timber & Forestry Index Fund","72.52","$435.12M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wood",
"INDY","iShares S&P India Nifty 50 Index Fund","31.33","$800.48M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/indy",
"IJT","iShares S&P Small-Cap 600 Growth ETF","192.51","$6.77B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ijt",
"DVY","iShares Select Dividend ETF","100.24","$17.3B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dvy",
"SHV","iShares Short Treasury Bond ETF","110.3","$15.17B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/shv",
"IGSB","iShares Short-Term Corporate Bond ETF","51.59","$10.21B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/igsb",
"PFF","iShares U.S. Preferred Stock ETF","36.05","$16.09B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pff",
"ISRL","Isramco, Inc.","122","$331.55M","1983","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/isrl",
"ITI","Iteris, Inc.","4.87","$161.88M","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/iti",
"ITRM","Iterum Therapeutics plc","6.68","$94.58M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/itrm",
"ITRI","Itron, Inc.","59.08","$2.32B","1993","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/itri",
"ITRN","Ituran Location and Control Ltd.","33.9","$710.84M","2005","Consumer Non-Durables","Electronic Components","https://www.nasdaq.com/symbol/itrn",
"IVENC","Ivy NextShares","100.02","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ivenc",
"IVFGC","Ivy NextShares","100.02","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ivfgc",
"IVFVC","Ivy NextShares","100.02","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ivfvc",
"IZEA","IZEA Worldwide, Inc.","1.65","$17.6M","n/a","Consumer Services","Advertising","https://www.nasdaq.com/symbol/izea",
"JJSF","J & J Snack Foods Corp.","146.79","$2.75B","1986","Consumer Non-Durables","Specialty Foods","https://www.nasdaq.com/symbol/jjsf",
"MAYS","J. W. Mays, Inc.","38.7","$78.01M","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/mays",
"JBHT","J.B. Hunt Transport Services, Inc.","120.41","$13.17B","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/jbht",
"JCOM","j2 Global, Inc.","77.28","$3.81B","1999","Technology","Telecommunications Equipment","https://www.nasdaq.com/symbol/jcom",
"JKHY","Jack Henry & Associates, Inc.","158.66","$12.25B","1985","Technology","EDP Services","https://www.nasdaq.com/symbol/jkhy",
"JACK","Jack In The Box Inc.","83.52","$2.28B","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/jack",
"JAGX","Jaguar Health, Inc.","0.565","$28.15M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/jagx",
"JAKK","JAKKS Pacific, Inc.","2.31","$67.38M","1996","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/jakk",
"JRVR","James River Group Holdings, Ltd.","42.25","$1.26B","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/jrvr",
"JSML","Janus Henderson Small Cap Growth Alpha ETF","42.63","$8.61M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jsml",
"JSMD","Janus Henderson Small/Mid Cap Growth Alpha ETF","43.841","$15.43M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jsmd",
"JASN","Jason Industries, Inc.","3.43","$93.96M","2013","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/jasn",
"JASNW","Jason Industries, Inc.","0.0108","n/a","2013","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/jasnw",
"JAZZ","Jazz Pharmaceuticals plc","162.67","$9.83B","2007","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/jazz",
"JD","JD.com, Inc.","23.62","$34.16B","2014","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/jd",
"JSYN","Jensyn Acquistion Corp.","11","$22.89M","2016","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/jsyn",
"JSYNR","Jensyn Acquistion Corp.","0.27","n/a","2016","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/jsynr",
"JSYNU","Jensyn Acquistion Corp.","12.25","n/a","2016","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/jsynu",
"JSYNW","Jensyn Acquistion Corp.","0.107","n/a","2016","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/jsynw",
